# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[OK] 0142D0	TIGER 미국AI데이터센터TOP4Plus
[OK] 0007G0	PLUS 글로벌원자력밸류체인
[OK] 457990	PLUS 태양광&ESS
[OK] 0068M0	KODEX 미국S&P500버퍼6월액티브
[OK] 486240	DAISHIN343 AI반도체&인프라액티브
[OK] 0041E0	KODEX 미국S&P500액티브
[OK] 371470	TIGER 차이나바이오테크SOLACTIVE
[OK] 138910	KODEX 구리선물(H)
[OK] 292190	KODEX KRX300
[OK] 140700	KODEX 보험
[OK] 0041D0	KODEX 미국AI소프트웨어TOP10
[OK] 400970	TIGER Fn메타버스
[MISS] 447430	ACE 주주환원가치주액티브
[OK] 298770	KODEX 한국대만IT프리미어
[OK] 0067V0	TIGER 차이나글로벌리더스TOP3+
[OK] 475310	SOL 반도체후공정
[OK] 352540	KODEX 일본부동산리츠(H)
[OK] 0118S0	SOL 미국넥스트테크TOP10액티브
[MISS] 471780	TIGER 코리아테크액티브
[OK] 337140	KODEX 코스피대형주
[OK] 434960	DAISHIN343 K200
[MISS] 395170	KODEX Top10동일가중
[MISS] 487750	BNK 온디바이스AI
[MISS] 139280	TIGER 경기방어
[MISS] 365040	TIGER AI코리아그로스액티브
[OK] 117700	KODEX 건설
[OK] 476690	TIGER 글로벌비만치료제TOP2Plus
[OK] 0046Y0	ACE 미국배당퀄리티
[OK] 200030	KODEX 미국S&P500산업재(합성)
[OK] 407830	에셋플러스 글로벌플랫폼액티브
[OK] 495750	HANARO 코리아밸류업
[OK] 480310	TIGER 글로벌온디바이스AI
[OK] 266360	KODEX K콘텐츠
[OK] 266370	KODEX IT
[OK] 0152E0	SOL 배당성향탑픽액티브
[OK] 0005G0	ITF K-AI반도체코어테크
[OK] 0098Z0	FOCUS 200
[OK] 139220	TIGER 200 건설
[OK] 174360	RISE 중국본토대형주CSI100
[OK] 498860	RISE 코리아금융고배당
[OK] 104530	KIWOOM 고배당
[MISS] 410870	TIME K컬처액티브
[OK] 364990	TIGER 게임TOP10
[OK] 469060	RISE 미국반도체NYSE
[MISS] 448570	FOCUS AI코리아액티브
[OK] 453650	KODEX 미국S&P500금융
[MISS] 322400	HANARO e커머스
[OK] 139270	TIGER 200 금융
[OK] 476070	KODEX 글로벌비만치료제TOP2 Plus
[OK] 256750	KODEX 차이나심천ChiNext(합성)
[OK] 277640	TIGER 코스피대형주
[OK] 375770	KODEX 탄소효율그린뉴딜
[OK] 276990	KODEX 글로벌로봇(합성)
[OK] 0083S0	1Q 미국메디컬AI
[OK] 479850	HANARO K-뷰티
[OK] 461340	HANARO 글로벌생성형AI액티브
[OK] 099140	KODEX 차이나H
[OK] 336160	RISE 금융채액티브
[OK] 0020H0	KoAct 글로벌양자컴퓨팅액티브
[OK] 491220	PLUS 200TR
[OK] 489290	WON 미국빌리어네어
[OK] 322410	HANARO K고배당
[OK] 461580	TIGER 코스닥글로벌
[OK] 218420	KODEX 미국S&P500에너지(합성)
[OK] 428510	KODEX 차이나AI테크액티브
[OK] 245360	TIGER 차이나HSCEI
[OK] 453950	TIGER TSMC파운드리밸류체인
[OK] 0040S0	HANARO 글로벌피지컬AI액티브
[OK] 429760	PLUS 미국S&P500
