ticker,market_type,corp_name,corp_code
A182360,KOSDAQ,(주)큐브엔터테인먼트,1101115192036
A005800,KOSPI,(주)신영와코루,1101110094964
A017670,KOSPI,SK텔레콤(주),1101110371346
A005420,KOSPI,코스모화학(주),1101110152738
A005440,KOSPI,(주)현대지에프홀딩스,1101110095201
A006090,KOSPI,(주)사조오양,1101110104820
A011000,KOSPI,진원생명과학(주),1101110191562
A293940,KOSPI,(주)신한알파위탁관리부동산투자회사,1101116601135
A057050,KOSPI,(주)현대홈쇼핑,1101112248882
A015750,KOSDAQ,(주)성우하이텍,1801110042612
A026890,KOSPI,스틱인베스트먼트(주),1243110008204
A067000,KOSDAQ,(주)조이시티,1101111041633
A112610,KOSPI,씨에스윈드(주),1101113509887
A009320,KOSPI,아진전자부품(주),1341110000822
A268280,KOSPI,미원스페셜티케미칼(주),2101110123944
A018250,KOSPI,애경산업(주),1101110398275
A950190,KOSDAQ,고스트스튜디오(주),0000000000000
A004000,KOSPI,롯데정밀화학(주),1812110000013
A003490,KOSPI,(주)대한항공,1101110108484
A074600,KOSDAQ,(주)원익큐엔씨,1760110035615
A298000,KOSPI,효성화학(주),1101116770188
A148150,KOSDAQ,(주)세경하이테크,1345110097540
A058630,KOSDAQ,주식회사 엠게임,1101111838212
A023150,KOSPI,(주)MH에탄올,1901110003563
A036530,KOSPI,(주)SNT홀딩스,1244110002907
A000990,KOSPI,주식회사 DB하이텍,1101110026206
A000640,KOSPI,동아쏘시오홀딩스(주),1101110017990
A030530,KOSDAQ,(주)원익홀딩스,1243110033235
A093370,KOSPI,(주)후성,1314110189425
A110990,KOSDAQ,디아이티(주),1348110112334
A394280,KOSDAQ,오픈엣지테크놀로지 주식회사,1311110501435
A004360,KOSPI,세방(주),1801110015932
A006340,KOSPI,대원전선(주),1348110001181
A101970,KOSDAQ,우양에이치씨(주),1350110062633
A011170,KOSPI,롯데케미칼(주),1101110193196
A408900,KOSDAQ,주식회사 스튜디오미르,1101114460046
A000670,KOSPI,(주)영풍,1101110003824
A010640,KOSPI,진양폴리우레탄(주),1345110000387
A082920,KOSDAQ,(주)비츠로셀,1101110548771
A003080,KOSPI,에스비성보(주),1147110000402
A194480,KOSDAQ,데브시스터즈(주),1101113687568
A070960,KOSPI,모나용평(주),1450110002801
A003090,KOSPI,(주)대웅,1311110000271
A114190,KOSDAQ,(주)강원에너지,1101110191398
A044380,KOSPI,(주)주연테크,1101110574164
A001560,KOSPI,제일연마공업(주),1801110021806
A000540,KOSPI,흥국화재해상보험(주),1101110016728
A130660,KOSPI,한전산업개발(주),1101110692875
A005010,KOSPI,(주)휴스틸,1101110077283
A012690,KOSPI,(주)모나리자,1101110220882
A001130,KOSPI,대한제분(주),1101110003733
A035080,KOSDAQ,(주)그래디언트,1101111468093
A002390,KOSPI,(주)한독,1101110037005
A073240,KOSPI,금호타이어(주),1101112810590
A060980,KOSPI,에이치엘홀딩스(주),1313110030042
A034310,KOSPI,(주)NICE홀딩스,1101110505614
A045390,KOSDAQ,대아티아이(주),1101111195109
A330860,KOSDAQ,주식회사 네패스아크,1501110267365
A007860,KOSPI,(주)서연,1101110129026
A047310,KOSDAQ,(주)파워로직스,1101111459191
A395400,KOSPI,에스케이위탁관리부동산투자회사 주식회사,1101117815446
