crno,sic_name,enp_rpr_fnm,address,homepage,enp_main_biz_name,corp_name
1101110301111,,"김민정, 정구일, 박충기 (각자 대표이사)",서울특별시 강서구  공항대로 467 (등촌동),www.bkmp.co.kr,,태경비케이
1101111530959,,박진형,"경기도 성남시 중원구 사기막골로 52 5층(상대원동, 선텍시티2)",http://www.synergyinnovation.co.kr,,시너지이노베이션
1201110038209,,"이상원, 이상열(각자 대표이사)",인천광역시 남동구  남동대로369번길 18,www.sftc.co.kr,,상아프론테크
1101110099774,,이명순,서울특별시 종로구 김상옥로 29,www.sgic.co.kr,,서울보증보험
1701110021600,,"진양곤, 백윤기 (각자대표)",세종특별자치시  연동면 명학산단서로 10-5 -,hlbbio.co.kr,,HLB
1147110003729,,"김한준, 전제형(각자 대표이사)",경기도 시흥시 공단1대로27번길 47,www.baiksan.co.kr,,백산
1101114720945,,강호성,서울특별시 종로구 종로33길 31 삼양사,www.samyangcorp.com,,삼양사
1101110048143,,"정순옥, 유용환 (각자 대표이사)","서울특별시 강남구 테헤란로 620 에이동 12층 (대치동, 미래에셋타워)",reyonpharm.co.kr,,이연제약
1648110105010,,"장경호, 강정태(각자 대표이사)",충청남도 아산시 둔포면 아산밸리로 171,www.innoxamc.com,,이녹스첨단소재
1101110254104,,"강병은,손용수","경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))",www.dypc.co.kr,,대영포장
1101110006456,,나채범,서울특별시 영등포구  여의대로 56 한화손해보험(주),www.hwgeneralins.com/,,한화손해보험
1801110006915,,박도현,부산광역시 동구 중앙대로 168(초량동),www.chunilexpress.com,,천일고속
1101115938985,,최우형,서울특별시 중구 을지로 170 을지트윈타워,www.kbanknow.com,,케이뱅크
1311110082427,,"김도원, 김윤건",경기도 평택시 산단로 16번길 72,www.tesna.co.kr,,두산테스나
1801110003391,,김재현,"부산광역시 부산진구 중앙대로 639 18층(범천동, 엠디엠타워)",www.jevisco.com,,강남제비스코
1601110393069,,"최덕형, 박강수",서울특별시 강남구 영동대로 735 -,www.golfzon.com,,골프존
1846110000319,,변성희,충청남도 당진시  송산면 무수들길 370,www.fskrc.co.kr,,한국내화
1101110012776,,박대창,서울특별시 서초구  바우뫼로27길 2 일동제약빌딩,www.ildong.com,,일동홀딩스
1101110215536,,"정의선, 이규석",서울 강남구 역삼1동 로담코빌딩 140-2,www.mobis.com,,현대모비스
1601110094162,,박장우,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,anapro.com,,나노신소재
1101111113929,,박준석,서울특별시 구로구 디지털로26길 72 -,www.kcp.co.kr,,NHN KCP
1101113386954,,법인이사 케이비자산운용(주),"서울특별시 영등포구 국제금융로 10, 40층, 41층 40층, 41층",,,KB발해인프라
1101115695337,,조덕수,경기도 과천시 과천대로12길 110 (문원동),www.rfhic.com,,RFHIC
1101110124969,,"염병만, 염병진","서울특별시 관악구  남부순환로 2028 남현동, 동방빌딩",www.dongbangagro.co.kr,,동방아그로
1201110845638,,이종주,인천광역시 남동구 앵고개로449번길 42,naurobot.com,,나우로보틱스
1101110028541,,이홍민,서울특별시 구로구 디지털로33길 48 대륭포스트타워7차 17층,www.khe.co.kr,,금호전기
1101111682932,,김영섬,"서울특별시 서초구 강남대로 327 6층, 7층, 9층(서울특별시 서초구 강남대로)",konantech.com,,코난테크놀로지
1347110000408,,권혁범,경기도 평택시 진위면 서탄로 9,www.yp21.co.kr,,블루산업개발
1101110003543,,"구광모, 권봉석",서울특별시 영등포구  여의대로 128,www.lg.co.kr,,LG
1101110414126,,한상욱,"경기도 과천시 과천대로12길 117 제이동 801호,802호,901호(갈현동,과천펜타원)",www.comtec.co.kr,,아이티센씨티에스
1341110003595,,김유진(대표집행임원),경기도 안산시 단원구 번영2로 144,company.hanssem.com,,한샘
1244110019788,,강득주,"인천광역시 연수구 송도과학로 56 2214호(송도동, 송도테크노파크비티센터)",www.jeio.co.kr/,,제이오
1101110019350,,"설 범, 김 인호","서울특별시 중구 중림로 48 (중림동, 성준빌딩)",www.thtc.co.kr,,대한방직
1746110004644,,손경익,경상북도 포항시 북구 청하면 동해대로2315번길 54-2 -,www.synopex.com,,시노펙스
1101112819005,,박준,서울특별시 동작구  여의대방로 112 (신대방동),www.nongshimholdings.com,,농심홀딩스
1615110044225,,"신정훈, 이상진(각자대표)",충청남도 천안시 서북구 성거읍 천흥8길 67-26,www.ht.co.kr,,해태제과식품
1101111002122,,백종원,"서울특별시 강남구 봉은사로1길 39 5, 6층",www.theborn.co.kr/,,더본코리아
1101110026181,,엄태웅,서울특별시 종로구 종로33길 31,www.samyang.com,,삼양홀딩스
1101113301457,,윤두현,서울특별시 강남구 삼성로 610 삼성동,www.grandkorea.com,,GKL
1101110003262,,송영규,"서울특별시 영등포구 여의나루로 60 9층 (여의도동, 포스트타워)",www.eusu-holdings.com,,유수홀딩스
2111110001090,,"김응상, 경상호 (각자대표)","전라북도 군산시  외항1길 24 (소룡동,0)",hannong.koreasme.com,,한농화성
1101110703210,,"고상걸, 권홍빈(각자대표이사)",경기도 안성시 미양면 제2공단3길 30 -,www.kct.co.kr,,케이씨
1101110006612,,금정호,"서울특별시 영등포구 국제금융로8길 16 (여의도동, 신영증권빌딩)",www.shinyoung.com,,신영증권
1101111673220,,정종민,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),www.cgv.co.kr,,CJ CGV
1101110013287,,"김준, 김담",서울특별시 영등포구 영중로 15 (영등포동 4가),www.kyungbang.co.kr,,경방
1717110036705,,"홍성준, 최재현",서울특별시 강서구 마곡중앙로 172 바이오이노베이션파크,genexine.com,,제넥신
1311110446029,,Song Soo-young,경기도 성남시 수정구 창업로 17 판교 아이스퀘어 A동 8층,www.huons.com,,휴온스
1101110539382,,"허흥범, 박건원 (각자대표)",서울특별시 성동구 연무장11길 8 성수2가 273-50,www.kidaristudio.com,,키다리스튜디오
1201110001959,,백오현,인천광역시 남구 염전로 91,www.eagon.com,,이건산업
1201110005266,,김용우,강원도 춘천시 남산면 버들1길 130,www.douzone.com,,더존비즈온
1355110319406,,구본학,경기도 시흥시 엠티브이북로 349(정왕동),"www,cuckoo.co.kr",,쿠쿠홈시스
1101110189955,,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),서울특별시 마포구  백범로 192,www.s-oil.com,,S-Oil
1101113909839,,"하승봉, 이지철",서울특별시 강남구 학동로37길 8 &nbsp,www.giantstep.co.kr,,자이언트스텝
1101110000086,,"신동빈, 김원재",서울특별시 중구  남대문로 81 (소공동),www.lotteshoppingir.com/,,롯데쇼핑
1942110003096,,구본상·이동한(각자 대표이사),경상남도 창원시 성산구  공단로271번길 39 신성델타테크(주),www.ssdelta.co.kr,,신성델타테크
1101117343356,,승만호,"서울특별시 중구 세종대로 136 4층, 6층 (태평로1가, 서울파이낸스센터)",shsbreit.com,,신한서부티엔디리츠
1101118993457,,"조현상, 안성훈",서울특별시 마포구 마포대로 119 (공덕동),www.hshyosung.com,,HS효성
1101110842785,,김성일,"서울특별시 서초구 반포대로 19 (서초동, 현대퓨처넷빌딩)",www.hyundaifuturenet.com,,현대퓨처넷
1301110010015,,강재영,경기도 시흥시 공단1대로379번안길 74,www.tailim.com,,태림포장
1101112577885,,김철영,충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주),www.mntech.co.kr,,미래나노텍
